fips,county,state
69110,Saipan,Northern Mariana Islands
69120,Tinian,Northern Mariana Islands
72001,Adjuntas,Puerto Rico
72003,Aguada,Puerto Rico
72005,Aguadilla,Puerto Rico
72007,Aguas Buenas,Puerto Rico
72009,Aibonito,Puerto Rico
72011,Anasco,Puerto Rico
72013,Arecibo,Puerto Rico
72015,Arroyo,Puerto Rico
72017,Barceloneta,Puerto Rico
72019,Barranquitas,Puerto Rico
72021,Bayamon,Puerto Rico
72023,Cabo Rojo,Puerto Rico
72025,Caguas,Puerto Rico
72027,Camuy,Puerto Rico
72029,Canovanas,Puerto Rico
72031,Carolina,Puerto Rico
72033,Catano,Puerto Rico
72035,Cayey,Puerto Rico
72037,Ceiba,Puerto Rico
72039,Ciales,Puerto Rico
72041,Cidra,Puerto Rico
72043,Coamo,Puerto Rico
72045,Comerio,Puerto Rico
72047,Corozal,Puerto Rico
72049,Culebra,Puerto Rico
72051,Dorado,Puerto Rico
72053,Fajardo,Puerto Rico
72054,Florida,Puerto Rico
72055,Guanica,Puerto Rico
72057,Guayama,Puerto Rico
72059,Guayanilla,Puerto Rico
72061,Guaynabo,Puerto Rico
72063,Gurabo,Puerto Rico
72065,Hatillo,Puerto Rico
72067,Hormigueros,Puerto Rico
72069,Humacao,Puerto Rico
72071,Isabela,Puerto Rico
72073,Jayuya,Puerto Rico
72075,Juana Diaz,Puerto Rico
72077,Juncos,Puerto Rico
72079,Lajas,Puerto Rico
72081,Lares,Puerto Rico
72083,Las Marias,Puerto Rico
72085,Las Piedras,Puerto Rico
72087,Loiza,Puerto Rico
72089,Luquillo,Puerto Rico
72091,Manati,Puerto Rico
72093,Maricao,Puerto Rico
72095,Maunabo,Puerto Rico
72097,Mayaguez,Puerto Rico
72099,Moca,Puerto Rico
72101,Morovis,Puerto Rico
72103,Naguabo,Puerto Rico
72105,Naranjito,Puerto Rico
72107,Orocovis,Puerto Rico
72109,Patillas,Puerto Rico
72111,Penuelas,Puerto Rico
72113,Ponce,Puerto Rico
72115,Quebradillas,Puerto Rico
72117,Rincon,Puerto Rico
72119,Rio Grande,Puerto Rico
72121,Sabana Grande,Puerto Rico
72123,Salinas,Puerto Rico
72125,San German,Puerto Rico
72127,San Juan,Puerto Rico
72129,San Lorenzo,Puerto Rico
72131,San Sebastian,Puerto Rico
72133,Santa Isabel,Puerto Rico
72135,Toa Alta,Puerto Rico
72137,Toa Baja,Puerto Rico
72139,Trujillo Alto,Puerto Rico
72141,Utuado,Puerto Rico
72143,Vega Alta,Puerto Rico
72145,Vega Baja,Puerto Rico
72147,Vieques,Puerto Rico
72149,Villalba,Puerto Rico
72151,Yabucoa,Puerto Rico
72153,Yauco,Puerto Rico
78010,St. Croix,Virgin Islands
78020,St. John,Virgin Islands
78030,St. Thomas,Virgin Islands
